k	n1	n2	n3	n	p
1	1	1	1	1	0.001086562839551
2	1	1	1	1	0.001086562839551
3	1	1	1	1	0.001086562839551
4	1	1	1	1	0.001086562839551
5	1	1	1	1	0.001086562839551
6	2	1	1	1	0.001448750452735
7	2	2	1	2	0.001810938065918
8	3	2	2	2	0.002535313292285
9	4	2	2	3	0.002897500905469
10	4	3	3	3	0.003621876131836
11	6	4	5	5	0.005432814197754
12	7	6	6	6	0.006881564650489
13	15	8	9	11	0.011590003621876
14	16	10	9	12	0.012676566461427
15	16	14	13	14	0.015574067366896
16	17	17	15	16	0.017747193045998
17	18	18	19	18	0.0199203187251
18	18	22	22	21	0.022455632017385
19	24	26	25	25	0.027164070988772
20	25	29	30	28	0.030423759507425
21	26	32	31	30	0.032234697573343
22	31	41	35	36	0.038754074610648
23	34	37	41	37	0.040565012676567
24	36	42	40	39	0.042738138355668
25	43	44	42	43	0.046722202100688
26	43	47	46	45	0.049257515392974
27	49	48	47	48	0.052155016298443
28	45	49	49	48	0.051792828685259
29	41	50	45	45	0.049257515392974
30	42	43	46	44	0.047446577327056
31	40	39	44	41	0.044549076421586
32	38	35	40	38	0.04092720028975
33	35	32	38	35	0.038029699384281
34	32	30	35	32	0.035132198478812
35	31	27	30	29	0.031872509960159
36	26	24	28	26	0.028250633828323
37	21	19	24	21	0.023180007243752
38	20	17	22	20	0.021369069177834
39	18	15	20	18	0.019195943498732
40	15	13	17	15	0.016298442593263
41	13	12	15	13	0.014487504527345
42	10	8	11	10	0.010503440782325
43	8	7	10	8	0.009054690329591
44	6	6	8	7	0.007243752263673
45	5	5	7	6	0.006157189424122
46	3	3	5	4	0.00398406374502
47	2	3	4	3	0.003259688518653
48	2	3	3	3	0.002897500905469
49	1	2	2	2	0.001810938065918
50	1	1	1	1	0.001086562839551
51	1	1	1	1	0.001086562839551
52	1	1	1	1	0.001086562839551

% k^ = 27
% p(k^)=0.052155016298443
% p(k^)/sqrt(e)=0.031633616442818
% sigma = (35-20)/2=15/2=7.5
% sigma = 1/sqrt(2pi)/0.05463224893918=7.649
