r	R	N'	F	W
549	1	99	0.99	0
548	1	98	0.98	0.01
547	1	97	0.97	0.01
545	1	96	0.96	0.005
544	2	94	0.94	0.02
542	1	93	0.93	0.005
536	1	92	0.92	0.001666666666667
535	2	90	0.9	0.02
534	1	89	0.89	0.01
533	3	86	0.86	0.03
532	2	84	0.84	0.02
531	2	82	0.82	0.02
530	3	79	0.79	0.03
529	3	76	0.76	0.03
528	1	75	0.75	0.01
527	3	72	0.72	0.03
526	2	70	0.7	0.02
525	1	69	0.69	0.01
523	1	68	0.68	0.005
522	2	66	0.66	0.02
519	2	64	0.64	0.006666666666667
518	1	63	0.63	0.01
516	2	61	0.61	0.01
515	3	58	0.58	0.03
514	4	54	0.54	0.04
513	6	48	0.48	0.06
512	2	46	0.46	0.02
511	2	44	0.44	0.02
510	3	41	0.41	0.03
509	4	37	0.37	0.04
508	2	35	0.35	0.02
507	2	33	0.33	0.02
505	1	32	0.32	0.005
504	1	31	0.31	0.01
501	2	29	0.29	0.006666666666667
500	1	28	0.28	0.01
495	3	25	0.25	0.006
493	3	22	0.22	0.015
492	2	20	0.2	0.02
491	1	19	0.19	0.01
490	1	18	0.18	0.01
489	2	16	0.16	0.02
488	1	15	0.15	0.01
487	2	13	0.13	0.02
486	1	12	0.12	0.01
485	1	11	0.11	0.01
482	3	8	0.08	0.01
480	1	7	0.07	0.005
479	1	6	0.06	0.01
478	1	5	0.05	0.01
476	1	4	0.04	0.005
472	1	3	0.03	0.0025
470	2	1	0.01	0.01
469	1	0	0	0.01
% R^ = 513	
% W(R^)=0.06
% F(R^)=0.48	
% sigma = 6.649
