u	i
225.47	9.69
221.22	9.31
219.32	9.16
215.25	8.82
214.00	8.71
210.02	8.38
206.00	8.03
200.44	7.57
195.90	7.18
192.97	6.94
187.70	6.49
182.60	6.07
175.42	5.46
171.24	5.16
167.30	4.80
164.43	4.57
161.80	4.31
157.21	4.00
154.05	3.75
149.94	3.42
145.66	3.09
144.20	2.87
142.20	2.82
140.75	2.71
139.25	2.60
138.20	2.51
137.60	2.46
136.50	2.38
135.25	2.28
133.36	2.13
132.64	1.975
131.48	1.971
130.86	1.927
130.19	1.873
129.23	1.803
128.58	1.751
127.79	1.686
126.21	1.574
125.25	1.504
124.55	1.449
122.82	1.320
121.42	1.217
121.09	1.191
120.70	1.162
119.70	1.086
118.90	1.027
117.22	0.946000000000000000000
116.33	0.834
115.47	0.766
115.22	0.747
114.90	0.721
114.49	0.689
114.07	0.657
113.94	0.646
113.01	0.573
112.81	0.556
112.61	0.539
112.49	0.529
112.18	0.504
111.74	0.465
111.41	0.437
111.32	0.427
111.21	0.414
110.19	0.313
109.78	0.241
