u	i
119.52	0.918
120.71	1.004
120.98	1.025
121.14	1.036
122.13	1.111
123.34	1.201
123.66	1.224
125.99	1.398
126.10	1.407
126.77	1.457
127.56	1.515
127.90	1.540
128.14	1.578
128.81	1.609
129.16	1.641
129.76	1.680
130.94	1.770
131.74	1.828
131.93	1.841
132.40	1.874
132.70	1.898
135.88	2.15
136.89	2.23
138.14	2.33000000
141.97	2.62
144.16	2.78
146.94	3.00
150.10	3.24
153.35	3.50
157.41	3.81
160.17	4.04
163.55	4.29
167.85	4.63
169.76	4.78
173.73	5.11
176.24	5.39
179.99	5.61
182.86	5.84
184.56	5.98
189.32	6.37
193.22	6.70
197.42	7.06
200.28	7.30
203.90	7.61
209.75	8.09
214.40	8.52
216.72	8.72
218.18	8.87
222.76	9.28
226.52	9.62
227.75	9.74
229.70	9.970000000000
