k	n1	n2	n3	n	p
1	1	1	1	1	0.000530410183876
2	1	1	1	1	0.000530410183876
3	1	1	1	1	0.000530410183876
4	1	1	1	1	0.000530410183876
5	1	1	1	1	0.000530410183876
6	2	1	1	1	0.000707213578501
7	2	2	1	2	0.000884016973126
8	6	5	2	4	0.002298444130127
9	7	8	3	6	0.003182461103253
10	9	10	6	8	0.004420084865629
11	12	11	10	11	0.005834512022631
12	14	14	15	14	0.007602545968883
13	15	15	15	15	0.007956152758133
14	22	20	20	21	0.010961810466761
15	29	28	27	28	0.014851485148515
16	30	30	30	30	0.015912305516266
17	39	38	35	37	0.01980198019802
18	45	43	42	43	0.022984441301273
19	53	53	52	53	0.027934936350778
20	58	58	57	58	0.030586987270156
21	60	59	53	57	0.030410183875531
22	69	69	72	70	0.037128712871287
23	80	82	88	83	0.044200848656294
24	82	88	89	86	0.045792079207921
25	90	90	92	91	0.048090523338048
26	98	99	99	99	0.052333804809052
27	102	100	99	100	0.053217821782178
28	103	102	104	103	0.05463224893918
29	100	97	95	97	0.051626591230552
30	97	93	90	93	0.04950495049505
31	93	85	86	88	0.046676096181047
32	85	80	80	82	0.043316831683168
33	80	71	72	74	0.039427157001415
34	70	66	65	67	0.035537482319661
35	67	55	52	58	0.030763790664781
36	55	50	47	51	0.026874115983027
37	46	45	42	44	0.023514851485149
38	42	41	38	40	0.021393210749646
39	36	32	30	33	0.017326732673267
40	28	27	26	27	0.014321074964639
41	25	24	21	23	0.012376237623762
42	19	17	16	17	0.009193776520509
43	18	16	15	16	0.008663366336634
44	14	15	13	14	0.007425742574257
45	10	11	9	10	0.005304101838755
46	8	8	7	8	0.004066478076379
47	7	6	5	6	0.003182461103253
48	6	5	3	5	0.002475247524752
49	2	2	2	2	0.001060820367751
50	1	1	1	1	0.000530410183876
51	1	1	1	1	0.000530410183876
52	1	1	1	1	0.000530410183876
% k^ = 28
% p(k^)=0.05463224893918
% p(k^)/sqrt(e)=0.03313613399067
% sigma = (35-20)/2=15/2=7.5
% sigma = 1/sqrt(2pi)/0.05463224893918=7.302
